25 20
#############            
#....gig....#    ########
#....ggg....######......#
#....................i..#
#.a.........######......#
#....s......#    #......#
#...........#    #..v...#
#....a......#    #......#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #......#
  #.......#      #....v.#
  #.......#      #......#
  #.......#      #..c...#
  #..m....#      #......#
  #.......#      #..0...#
  #d......#      #......#
  #########      ########
